level,name,fip_code,zip_codes,parent,confirmed,confirmed_change,deaths,death_change,fatality_rate
state,New York,36000,,New York,25665,3942,184,1,0.7%
county,New York,36061,"10041,10165,10213,10022,10018,10037,10110,10199,10150,10271,10272,10121,10172,10011,10010,10009,10007,10045,10055,10003,10013,10032,10030,10069,10075,10282,10153,10123,10129,10170,10101,10159,10162,10164,10017,10014,10081,10130,10157,10023,10026,10174,10176,10281,10178,10212,11201,10080,10138,10177,10173,10275,10112,10001,10031,10033,10128,10044,10154,10107,10278,10125,10285,10155,10268,10175,10006,10258,10158,10004,10005,10008,10028,10160,10131,10043,10117,10105,10163,10274,10133,10124,10108,10103,10106,10035,10039,10040,10122,10115,10126,10277,10016,10012,10019,10024,10034,10036,10065,10279,10119,10171,10118,10166,10169,10276,10152,10021,10020,10025,10029,10038,10120,10280,10185,10269,10002,10027,10111,10116,10463,10104,10167,10151,10113,10156,10168,10211,10179,10203",New York,14904,1785,125,,0.8%
county,Westchester,36119,"10610,10505,10510,10502,10570,10560,10526,10533,10595,10803,10517,10527,10706,10709,10804,10587,10520,10583,10547,10607,10588,10704,10518,10507,10530,10532,10604,10594,10475,10540,10702,10596,10466,10504,10567,10566,10553,10546,10538,10522,10605,10603,10591,10801,10590,10705,10707,10602,10501,10470,10519,10573,10523,10548,10708,10805,10802,10537,10551,10541,10578,10509,10511,10506,10576,10552,10550,10606,10589,10597,10514,10562,10580,10549,10601,10701,10577,10545,10503,10536,10528,10543,10535,10598,10710,10703",New York,3891,997,1,,0%
county,Nassau,36059,"11514,11571,11001,11040,11021,11599,11550,11549,11559,11569,11552,11709,11003,11024,11050,11096,11542,11572,11575,11566,11735,11753,11793,11724,11531,11023,11596,11568,11557,11771,11802,11530,11507,11576,11598,11551,11783,11803,11797,11554,11563,11732,11762,11756,11560,11701,11510,11577,11556,11773,11022,11020,11580,11579,11561,11553,11558,11758,11002,11042,11548,11547,11801,11804,11582,11765,11815,11509,11005,11565,11710,11714,11010,11030,11545,11520,11501,11518,11516,11581,11590,11570,11791,11691",New York,2869,427,9,,0.3%
county,Suffolk,36103,"11704,11701,11702,11719,11706,11724,11768,11776,11787,11786,11935,11934,11958,11975,00501,11716,11729,11740,11752,11789,11937,11939,11942,11953,11952,11954,11739,11735,11766,11784,11946,11967,11972,11794,11969,11770,11947,11720,11717,11722,11726,11742,11769,11940,11950,11951,11976,11957,11978,11949,11963,11796,11931,11705,11730,11727,11733,11764,11777,11778,11755,11790,11782,11798,11795,11932,11968,11977,11703,11713,11741,11725,11757,11754,11751,11779,11788,11792,11933,11956,11930,11941,06390,11959,11721,11718,11715,11772,11767,11747,11743,11749,11780,11971,11980,11955,11970,11962,11960,11964,11965,11758,11738,11731,11763,11746,11901,11944,11961,11948,11973",New York,1880,422,13,,0.7%
county,Rockland,36087,"10952,10954,10956,10974,10994,10986,10960,10965,10901,10923,10911,10976,10964,10927,10980,10993,10962,10968,10913,10931,10977,10920,10989,10982,10970,10983,10984",New York,671,79,5,,0.7%
county,Orange,36071,"10921,10953,10963,10990,12553,12771,10915,10985,10941,10958,10959,10940,10918,12543,12589,12721,10914,12551,10922,10916,10928,10917,10987,10979,12552,10926,12584,12785,12754,12555,10950,10992,12549,12746,10975,10933,10910,10932,10949,10988,10969,10981,12542,12518,12780,10925,10998,10996,12586,12729,10930,12577,10912,10919,12520,12575,12566,12550,10973,10924",New York,498,109,0,,0%
county,Albany,36001,"12460,12222,12208,12212,12047,12201,12288,12157,12067,12207,12054,12206,12053,12161,12120,12065,12237,12306,12247,12224,12239,12255,12128,12249,12059,12309,12186,12189,12205,12202,12159,12158,12240,12246,12257,12234,12087,12226,12235,12303,12210,12045,12009,12220,12193,12122,12183,12304,12203,12204,12248,12245,12107,12260,12233,12077,12469,12223,12084,12236,12232,12023,12110,12083,12147,12046,12007,12143,12211,12209,12055,12227,12041,12085",New York,146,19,0,,0%
county,Dutchess,36027,"12512,12582,12514,12524,12571,12572,12578,12546,12570,12590,12580,12540,12583,12581,12574,12522,12501,12594,12567,12602,12545,12531,12510,12508,12603,12504,12569,12592,12533,12585,12511,12506,12604,12507,12601,12564,12538,10512,12527,12537",New York,124,24,1,,0.8%
county,Erie,36029,"14206,14170,14222,14226,14240,14134,14025,14210,14219,14228,14034,14030,14070,14151,14269,14273,14270,14209,14150,14223,14102,14037,14052,14085,14215,14225,14075,14263,14033,14006,14072,14059,14214,14217,14203,14224,14081,14139,14027,14013,14241,14091,14068,14145,14010,14035,14043,14032,14001,14080,14212,14213,14220,14201,14111,14202,14227,14205,14055,14069,14061,14231,14038,14233,14110,14140,14280,14169,14208,14204,14031,14047,14004,14057,14221,14211,14026,14260,14112,14272,14265,14276,14036,14051,14086,14218,14216,14207,14127,14141",New York,107,6,0,,0%
county,Monroe,36055,"14559,14622,14649,14508,14414,14646,14652,14643,14627,14647,14420,14514,14612,14624,14625,14467,14610,14534,14621,14614,14620,14423,14450,14619,14615,14613,14626,14546,14506,14692,14445,14468,14606,14526,14616,14611,14617,14623,14476,14475,14482,14651,14609,14580,14605,14618,14464,14608,14604,14511,14502,14639,14638,14416,14410,14603,14430,14564,14470,14607,14586,14472,14602,14653,14519,14428,14642,14650,14515,14543",New York,97,16,3,1,3.1%
county,Saratoga,36091,"12859,12850,12019,12074,12170,12822,12863,12833,12828,12884,12086,12010,12027,12065,12148,12151,12302,12866,12118,12835,12134,12025,12020,12871,12803,12188,12831",New York,53,,0,,0%
county,Onondaga,36067,"13164,13207,13211,13261,13021,13036,13252,13166,13077,13090,13030,13120,13204,13219,13244,13110,13078,13041,13153,13158,13051,13203,13212,13205,13035,13084,13202,13209,13037,13141,13088,13020,13218,13082,13217,13063,13116,13215,13224,13138,13033,13060,13152,13159,13208,13201,13137,13069,13057,13027,13039,13029,13206,13066,13031,13104,13112,13108,13214,13210,13122,13080,13119,13225,13052,13220,13135,13089,13290,13235",New York,53,,0,,0%
county,Unassigned,00000,,New York,52,52,24,,46.2%
county,Putnam,36079,"10524,10588,10567,12531,12564,12563,10541,10537,12524,10512,12582,10542,10505,10509,10516,10579,12533",New York,45,,0,,0%
county,Schenectady,36093,"12027,12301,12009,12053,12137,12066,12309,12308,12307,12150,12019,12306,12303,12304,12302,12305,12008,12345,12010,12141,12157,12056",New York,44,,0,,0%
county,Ulster,36111,"12464,12406,12789,12465,12419,12417,12411,12486,12443,12453,12588,12416,12448,12475,12725,13731,12477,12433,12484,12404,12466,12548,12440,12435,12740,12420,12428,12401,12412,12457,12458,12542,12528,12449,12561,12456,12487,12493,12515,12525,12402,12410,12455,12483,12409,12480,12491,12589,12547,12481,12472,12758,12495,12463,12489,12441,12586,12494,12432,12490,12763,12471,12461,12498,12429,12446,12566,12568",New York,35,,0,,0%
county,Rensselaer,36083,"12156,12138,12153,12168,12154,12063,12169,12018,12061,12140,12181,12118,12183,12133,12024,12057,12062,12028,12121,12196,12089,12040,12022,12184,12198,12185,12082,12033,12052,12090,12144,12182,12123,12180,12094",New York,29,,0,,0%
county,Sullivan,36105,"12765,12779,12767,12458,12720,12780,12742,12736,12763,12751,12777,12783,12786,12734,12732,12759,12792,12733,12719,12748,12726,12754,12721,10963,12435,12758,12790,12752,12737,12762,12743,12769,12764,12791,10940,12722,12760,12729,12749,12745,12566,12788,12701,12778,12789,12747,12775,12740,12723,12741,12725,12750,12781,12784,12766,12770,12724,12787,12768,12776,12738",New York,23,,0,,0%
county,Columbia,36021,"12017,12136,12565,12516,12523,12156,12571,12513,12075,12037,12060,12184,12173,12546,12123,12029,12529,12132,12544,12062,12106,12534,12503,12168,12172,12125,12530,12541,12130,12165,12526,12502,12521,12195,12024,12115,12050,12174,12517,12583,12567",New York,17,,0,,0%
